PR,URL,Title,Content type,Is rendered page,HTTP status code,SERP title,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
31,https://kroam.xyz/models/cogito-671b,Cogito v2.1 671B (Deep Cogito) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,602,<truncated>,2913,146706298941081592,0,true
31,https://kroam.xyz/models/rnj-1-instruct,Rnj-1 Instruct (Essential AI) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,599,<truncated>,2883,723333240823769521,0,true
31,https://kroam.xyz/models/llama-3.1-405b-turbo,Llama 3.1 405B Turbo (Meta) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,602,<truncated>,2873,17072723132331149978,0,true
31,https://kroam.xyz/models/mistral-small-3-24b,Mistral Small 3 24B (Mistral) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,602,<truncated>,2882,13996054109701483744,0,true
31,https://kroam.xyz/models/deepseek-v3.1,DeepSeek V3.1 Football Predictions | Kroam,text/html; charset=utf-8,false,200,,593,<truncated>,2832,623083953858243054,0,true
30,https://kroam.xyz/models/qwen2.5-72b-turbo,Qwen 2.5 72B Turbo (Alibaba) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,602,<truncated>,2872,396404323869889634,0,true
30,https://kroam.xyz/models/deepseek-r1,DeepSeek R1 (Reasoning) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,596,<truncated>,2862,14470550036877208669,0,true
30,https://kroam.xyz/models/kimi-k2-instruct,Kimi K2 Instruct (Moonshot) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,600,<truncated>,2885,2803188937373087856,0,true
30,https://kroam.xyz/models/nemotron-nano-9b-v2,Nemotron Nano 9B v2 (NVIDIA) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,606,<truncated>,2917,17133838690026947757,0,true
29,https://kroam.xyz/models/kimi-k2-0905,Kimi K2 0905 (Moonshot) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,604,<truncated>,2894,17501793305910480617,0,true
25,https://kroam.xyz/models/qwen3-235b-instruct,Qwen3 235B Instruct (Alibaba) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,598,<truncated>,2849,3003866730481416085,0,true
24,https://kroam.xyz/models/gpt-oss-20b,GPT-OSS 20B (OpenAI) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,598,<truncated>,2857,15887474330582327644,0,true
23,https://kroam.xyz/models,AI Model Football Predictions | Kroam,text/html; charset=utf-8,false,200,,497,<truncated>,2965,15762610901161451650,0,true
22,https://kroam.xyz/leagues/eredivisie/fc-volendam-vs-go-ahead-eagles-2026-02-01,FC Volendam 1-1 GO Ahead Eagles | Kroam,text/html; charset=utf-8,false,200,,727,<truncated>,3820,2080900501655363714,0,true
22,https://kroam.xyz/leagues/laliga/athletic-club-vs-real-sociedad-2026-02-01,Athletic 1-1 Sociedad | Kroam,text/html; charset=utf-8,false,200,,735,<truncated>,3883,13981599124817746952,0,true
22,https://kroam.xyz/leagues/superlig/kocaelispor-vs-fenerbahe-2026-02-02,Kocaelispor 0-2 Fenerbahçe | Kroam,text/html; charset=utf-8,false,200,,723,<truncated>,3895,17724069243133825659,0,true
22,https://kroam.xyz/leagues/ligue1/strasbourg-vs-paris-saint-germain-2026-02-01,Strasbourg 1-2 Paris Saint Germain | Kroam,text/html; charset=utf-8,false,200,,737,<truncated>,3927,324605739229664359,0,true
22,https://kroam.xyz/leagues/seriea/udinese-vs-as-roma-2026-02-02,Udinese 1-0 AS Roma | Kroam,text/html; charset=utf-8,false,200,,727,<truncated>,3777,910828139256046251,0,true
22,https://kroam.xyz/leagues/seriea/cremonese-vs-inter-2026-02-01,Cremonese 0-2 Inter | Kroam,text/html; charset=utf-8,false,200,,600,<truncated>,3433,4255799506692723333,0,true
22,https://kroam.xyz/leagues/laliga/getafe-vs-celta-vigo-2026-02-01,Getafe 0-0 Celta Vigo | Kroam,text/html; charset=utf-8,false,200,,727,<truncated>,3793,14390095936429080304,0,true
22,https://kroam.xyz/leagues/laliga/mallorca-vs-sevilla-2026-02-02,Mallorca 4-1 Sevilla | Kroam,text/html; charset=utf-8,false,200,,717,<truncated>,3787,3189853837545010830,0,true
22,https://kroam.xyz/leagues/epl/sunderland-vs-burnley-2026-02-02,Sunderland 3-0 Burnley | Kroam,text/html; charset=utf-8,false,200,,723,<truncated>,3876,2784080966727674482,0,true
22,https://kroam.xyz/leagues/seriea/parma-vs-juventus-2026-02-01,Parma 1-4 Juventus | Kroam,text/html; charset=utf-8,false,200,,737,<truncated>,3864,14507062809683000652,0,true
21,https://kroam.xyz/leagues,Football League AI Predictions | Kroam,text/html; charset=utf-8,false,200,,266,<truncated>,1577,15509694008115207772,0,true
20,https://kroam.xyz/leagues/epl/bournemouth-vs-liverpool-2026-01-24,Bournemouth 3-2 Liverpool | Kroam,text/html; charset=utf-8,false,200,,681,<truncated>,3675,790575382726651082,0,true
20,https://kroam.xyz/leagues/superlig/antalyaspor-vs-genclerbirligi-2026-01-25,Antalyaspor 2-1 Genclerbirligi | Kroam,text/html; charset=utf-8,false,200,,741,<truncated>,4024,342438564639414834,0,true
20,https://kroam.xyz/leagues/uel/fc-porto-vs-rangers-2026-01-29,FC Porto 3-1 Rangers | Kroam,text/html; charset=utf-8,false,200,,695,<truncated>,3637,16199763198979179848,0,true
20,https://kroam.xyz/about,About Kroam | Kroam,text/html; charset=utf-8,false,200,,505,<truncated>,3107,16269589803629394192,0,true
20,https://kroam.xyz/leagues/ligue1/metz-vs-lyon-2026-01-25,Metz 2-5 Lyon | Kroam,text/html; charset=utf-8,false,200,,705,<truncated>,3648,1068232400232637550,0,true
20,https://kroam.xyz/leagues/epl/west-ham-vs-sunderland-2026-01-24,West Ham 3-1 Sunderland | Kroam,text/html; charset=utf-8,false,200,,675,<truncated>,3584,4043350142460190308,0,true
20,https://kroam.xyz/leagues/ucl/liverpool-vs-qarabag-2026-01-28,Liverpool 6-0 Qarabag | Kroam,text/html; charset=utf-8,false,200,,705,<truncated>,3756,17159561667991038280,0,true
20,https://kroam.xyz/leagues/epl/nottingham-forest-vs-crystal-palace-2026-02-01,Nott'm Forest 1-1 Crystal Palace | Kroam,text/html; charset=utf-8,false,200,,723,<truncated>,3882,15021781411263824741,0,true
20,https://kroam.xyz/leagues/seriea/como-vs-torino-2026-01-24,Como 6-0 Torino | Kroam,text/html; charset=utf-8,false,200,,697,<truncated>,3642,1035826825963661492,0,true
20,https://kroam.xyz/leagues/ucl/monaco-vs-juventus-2026-01-28,Monaco 0-0 Juventus | Kroam,text/html; charset=utf-8,false,200,,701,<truncated>,3724,15298825017974365810,0,true
20,https://kroam.xyz/leagues/epl/arsenal-vs-manchester-united-2026-01-25,Arsenal 2-3 Man Utd | Kroam,text/html; charset=utf-8,false,200,,675,<truncated>,3620,2326619741314188811,0,true
20,https://kroam.xyz/leagues/eredivisie/nac-breda-vs-excelsior-2026-02-06,NAC Breda vs Excelsior Prediction | Kroam,text/html; charset=utf-8,false,200,,217,<truncated>,1344,15214534720973419113,0,true
20,https://kroam.xyz/leagues/seriea/inter-vs-pisa-2026-01-23,Inter 6-2 Pisa | Kroam,text/html; charset=utf-8,false,200,,715,<truncated>,3683,14953074571993400020,0,true
20,https://kroam.xyz/leagues/epl/brentford-vs-nottingham-forest-2026-01-25,Brentford 0-2 Nott'm Forest | Kroam,text/html; charset=utf-8,false,200,,743,<truncated>,4002,15210949129879367886,0,true
20,https://kroam.xyz/leagues/seriea/fiorentina-vs-cagliari-2026-01-24,Fiorentina 1-2 Cagliari | Kroam,text/html; charset=utf-8,false,200,,715,<truncated>,3801,4016957617957703802,0,true
20,https://kroam.xyz/leagues/ligue1/metz-vs-lille-2026-02-06,Metz vs Lille Prediction | Kroam,text/html; charset=utf-8,false,200,,211,<truncated>,1266,15547931185652549684,0,true
20,https://kroam.xyz/leagues/bundesliga/werder-bremen-vs-1899-hoffenheim-2026-01-27,Werder Bremen 0-2 1899 Hoffenheim | Kroam,text/html; charset=utf-8,false,200,,697,<truncated>,3743,1512174411144310701,0,true
20,https://kroam.xyz/leagues/uel/fc-midtjylland-vs-dinamo-zagreb-2026-01-29,FC Midtjylland 2-0 Dinamo Zagreb | Kroam,text/html; charset=utf-8,false,200,,727,<truncated>,3862,834594580284425721,0,true
20,https://kroam.xyz/leagues/seriea/juventus-vs-napoli-2026-01-25,Juventus 3-0 Napoli | Kroam,text/html; charset=utf-8,false,200,,701,<truncated>,3692,16124129339630869333,0,true
